signal_key,phase,candidate_id,cluster_id,cluster_representative,candidate_action,deprioritization_reason,currently_in_scheduler_c_universe,validation_pnl,holdout_pnl,stress_pnl,best_day_concentration,best_trade_concentration,average_correlation,overlap_rate,scheduler_b_accepted_net_pnl,scheduler_c_accepted_net_pnl,weak_fold_harm,portfolio_role,signal_evidence_status,tradability_status,plain_english_rule
phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,phase11a,MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,,,deprioritize_harmful,negative accepted contribution or harmful-when-accepted diagnostic,True,82.84,303.5,1215.61,0.263982,0.263982,0.052127,0.986755,7183.28,3673.88,-76.74,parked_module,real_but_nontradable_signal,not_tradable_concentrated,MNQ opening-range fade after stricter confirmation using unchanged Phase 11A rules.
phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit,phase11a,MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit,,,deprioritize_harmful,negative accepted contribution or harmful-when-accepted diagnostic,True,92.1,337.14,328.59,0.9016,0.9016,0.10232,1.0,-9589.68,-4969.2,0.0,parked_module,real_but_nontradable_signal,not_tradable_concentrated,MNQ opening-range fade after stricter confirmation using unchanged Phase 11A rules.
phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,,,deprioritize_harmful,negative accepted contribution or harmful-when-accepted diagnostic,True,381.0,495.83,637.13,0.325099,0.325099,0.034979,0.8,224.6,218.44,-275.26,rare_setup_module,positive_research_signal,not_tradable_low_activity,MNQ opening-drive first-pullback continuation using unchanged Phase 12A rules.
phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,phase14a,MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,,,keep_for_diversification,non-cluster diversifier with positive split evidence,True,161.41,437.23,306.14,1.637284,1.637284,0.084487,0.958904,2385.48,956.0,-91.24,diversifier_module,positive_research_signal,not_tradable_concentrated,"Short rejection from prior RTH midpoint after close-confirmed failure to hold above the level, filled at next bar open."
phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit,phase14a,MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit,,,keep_for_diversification,non-cluster diversifier with positive split evidence,True,85.36,734.92,350.83,1.049973,1.049973,0.063016,0.941176,11472.46,4632.28,-13.22,diversifier_module,positive_research_signal,not_tradable_concentrated,"Short rejection from prior RTH midpoint after close-confirmed failure to hold above the level, filled at next bar open."
phase15a::MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit,phase15a,MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit,,,keep_for_diversification,non-cluster diversifier with positive split evidence,True,166.84,340.21,905.11,0.523673,0.523673,0.154204,0.981481,8290.96,4145.48,0.0,diversifier_module,positive_research_signal,not_tradable_low_activity,"On a qualified morning trend day, short the late-session EMA20 pullback resume after close confirmation, filled at next bar open."
phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,phase11a,MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,,,park_do_not_schedule,not in current Scheduler C universe or parked module without representative role,True,720.79,1112.58,859.64,0.3954,0.3954,0.134393,0.278689,26202.36,14321.52,-626.24,parked_module,real_but_nontradable_signal,not_tradable_concentrated,MNQ opening-range fade after stricter confirmation using unchanged Phase 11A rules.
phase11a::MNQ_11a_orfade_short_high_fade_OR30_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit,phase11a,MNQ_11a_orfade_short_high_fade_OR30_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit,,,park_do_not_schedule,not in current Scheduler C universe or parked module without representative role,True,51.38,1229.88,195.18,2.895464,2.895464,0.06318,0.852459,10214.24,5375.92,142.26,parked_module,real_but_nontradable_signal,not_tradable_concentrated,MNQ opening-range fade after stricter confirmation using unchanged Phase 11A rules.
phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,,,park_do_not_schedule,not in current Scheduler C universe or parked module without representative role,False,41.79,226.88,953.49,0.225298,0.225298,0.0,0.0,0.0,0.0,0.0,rare_setup_module,real_but_nontradable_signal,not_tradable_low_activity,MNQ opening-drive first-pullback continuation using unchanged Phase 12A rules.
phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_structure_target_time_exit,phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_structure_target_time_exit,,,park_do_not_schedule,not in current Scheduler C universe or parked module without representative role,False,58.79,173.88,14.49,2.315306,2.315306,0.0,0.0,0.0,0.0,0.0,rare_setup_module,positive_research_signal,not_tradable_low_activity,MNQ opening-drive first-pullback continuation using unchanged Phase 12A rules.
