phase8d_rank,hypothesis_id,instrument,timeframe,side,family,setup_description,decision_time_requirements,expected_trade_frequency,expected_cost_sensitivity,lookahead_risk,ambiguity_risk,implementation_cost,scout_priority,reason_to_try,kill_condition
1,MNQ_prior_high_low_breakout_tf5_long_only_b063948c,MNQ,5,long_only,prior_high_low_breakout,Trade continuation through prior-session high/low levels.,prior session levels known before RTH open,medium,low,medium,medium,low,150.0,Diversifies away from the current MGC single-family grind via MNQ long_only 5m prior_high_low_breakout.,reject if breakout events are too sparse or slippage-sensitive
2,MNQ_opening_range_breakout_tf15_short_only_f54dbdc5,MNQ,15,short_only,opening_range_breakout,Break away from the completed opening range after confirmation.,opening range completed plus signal bar close,medium,low,medium,medium,low,150.0,Diversifies away from the current MGC single-family grind via MNQ short_only 15m opening_range_breakout.,reject if cost stress or concentration dominates
3,MGC_prior_high_low_breakout_tf5_long_only_e0ff3f96,MGC,5,long_only,prior_high_low_breakout,Trade continuation through prior-session high/low levels.,prior session levels known before RTH open,medium,medium,medium,medium,low,141.0,Diversifies away from the current MGC single-family grind via MGC long_only 5m prior_high_low_breakout.,reject if breakout events are too sparse or slippage-sensitive
4,MNQ_prior_high_low_breakout_tf15_short_only_d4f3f45c,MNQ,15,short_only,prior_high_low_breakout,Trade continuation through prior-session high/low levels.,prior session levels known before RTH open,medium,low,medium,medium,low,150.0,Diversifies away from the current MGC single-family grind via MNQ short_only 15m prior_high_low_breakout.,reject if breakout events are too sparse or slippage-sensitive
5,MNQ_time_of_day_momentum_reversion_tf3_long_only_39fa2c25,MNQ,3,long_only,time_of_day_momentum_reversion,Trade time-window-specific momentum or mean-reversion behavior.,fixed clock window and closed bar only,medium,low,low,medium,medium,142.0,Diversifies away from the current MGC single-family grind via MNQ long_only 3m time_of_day_momentum_reversion.,reject if edge vanishes outside one narrow sample window
6,MNQ_time_of_day_momentum_reversion_tf15_short_only_f2cac110,MNQ,15,short_only,time_of_day_momentum_reversion,Trade time-window-specific momentum or mean-reversion behavior.,fixed clock window and closed bar only,medium,low,low,medium,medium,142.0,Diversifies away from the current MGC single-family grind via MNQ short_only 15m time_of_day_momentum_reversion.,reject if edge vanishes outside one narrow sample window
7,MNQ_volatility_compression_breakout_tf15_long_only_aea99b32,MNQ,15,long_only,volatility_compression_breakout,Trade expansion after prior low-range/compression context.,prior range bucket known before entry,low,low,medium,medium,medium,138.0,Diversifies away from the current MGC single-family grind via MNQ long_only 15m volatility_compression_breakout.,reject if too sparse or only works in one market regime
8,MNQ_volatility_compression_breakout_tf15_short_only_0943dd60,MNQ,15,short_only,volatility_compression_breakout,Trade expansion after prior low-range/compression context.,prior range bucket known before entry,low,low,medium,medium,medium,138.0,Diversifies away from the current MGC single-family grind via MNQ short_only 15m volatility_compression_breakout.,reject if too sparse or only works in one market regime
9,MNQ_prior_high_low_rejection_tf3_long_only_55253a76,MNQ,3,long_only,prior_high_low_rejection,Fade sweeps of prior-session high/low after rejection confirmation.,prior levels known plus rejection close,medium,low,medium,high,low,135.0,Diversifies away from the current MGC single-family grind via MNQ long_only 3m prior_high_low_rejection.,reject if one-day concentration or ambiguity remains high
10,MNQ_prior_high_low_rejection_tf15_short_only_0caf5873,MNQ,15,short_only,prior_high_low_rejection,Fade sweeps of prior-session high/low after rejection confirmation.,prior levels known plus rejection close,medium,low,medium,high,low,135.0,Diversifies away from the current MGC single-family grind via MNQ short_only 15m prior_high_low_rejection.,reject if one-day concentration or ambiguity remains high
11,MGC_prior_high_low_breakout_tf5_short_only_37a7e6a5,MGC,5,short_only,prior_high_low_breakout,Trade continuation through prior-session high/low levels.,prior session levels known before RTH open,medium,medium,medium,medium,low,141.0,Diversifies away from the current MGC single-family grind via MGC short_only 5m prior_high_low_breakout.,reject if breakout events are too sparse or slippage-sensitive
12,MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,5,long_only,vwap_pullback_continuation,Trade with VWAP trend after a shallow pullback and continuation close.,VWAP slope/pullback known at signal close,medium,low,medium,medium,high,134.0,Diversifies away from the current MGC single-family grind via MNQ long_only 5m vwap_pullback_continuation.,reject if old MGC failure modes repeat without filter improvement
13,MNQ_vwap_pullback_continuation_tf15_short_only_b22b0c84,MNQ,15,short_only,vwap_pullback_continuation,Trade with VWAP trend after a shallow pullback and continuation close.,VWAP slope/pullback known at signal close,medium,low,medium,medium,high,134.0,Diversifies away from the current MGC single-family grind via MNQ short_only 15m vwap_pullback_continuation.,reject if old MGC failure modes repeat without filter improvement
14,MNQ_opening_drive_continuation_tf15_short_only_e8f1b0cd,MNQ,15,short_only,opening_drive_continuation,Follow strong opening drive continuation after a bounded drive window.,drive window completed before signal,medium,low,medium,medium,high,134.0,Diversifies away from the current MGC single-family grind via MNQ short_only 15m opening_drive_continuation.,reject if drawdown path breaches before robust payout case
15,MNQ_first_pullback_trend_continuation_tf5_long_only_35e31478,MNQ,5,long_only,first_pullback_trend_continuation,Trade first pullback after session trend is established.,trend and pullback state from closed bars only,medium,low,low,medium,high,134.0,Diversifies away from the current MGC single-family grind via MNQ long_only 5m first_pullback_trend_continuation.,reject if event detection requires discretionary labeling
16,MNQ_first_pullback_trend_continuation_tf15_short_only_b64eddb3,MNQ,15,short_only,first_pullback_trend_continuation,Trade first pullback after session trend is established.,trend and pullback state from closed bars only,medium,low,low,medium,high,134.0,Diversifies away from the current MGC single-family grind via MNQ short_only 15m first_pullback_trend_continuation.,reject if event detection requires discretionary labeling
17,MNQ_session_reversal_failed_breakout_tf15_long_only_df801605,MNQ,15,long_only,session_reversal_failed_breakout,Trade reversal after a failed range or prior-level breakout.,failed breakout and reversal confirmation close,medium,low,low,medium,high,134.0,Diversifies away from the current MGC single-family grind via MNQ long_only 15m session_reversal_failed_breakout.,reject if too many variants only repackage opening-range fade
18,MNQ_session_reversal_failed_breakout_tf15_short_only_948f4f1a,MNQ,15,short_only,session_reversal_failed_breakout,Trade reversal after a failed range or prior-level breakout.,failed breakout and reversal confirmation close,medium,low,low,medium,high,134.0,Diversifies away from the current MGC single-family grind via MNQ short_only 15m session_reversal_failed_breakout.,reject if too many variants only repackage opening-range fade
19,MGC_time_of_day_momentum_reversion_tf3_long_only_50a78ed2,MGC,3,long_only,time_of_day_momentum_reversion,Trade time-window-specific momentum or mean-reversion behavior.,fixed clock window and closed bar only,medium,medium,low,medium,medium,133.0,Diversifies away from the current MGC single-family grind via MGC long_only 3m time_of_day_momentum_reversion.,reject if edge vanishes outside one narrow sample window
20,MGC_time_of_day_momentum_reversion_tf3_short_only_0bae37c0,MGC,3,short_only,time_of_day_momentum_reversion,Trade time-window-specific momentum or mean-reversion behavior.,fixed clock window and closed bar only,medium,medium,low,medium,medium,133.0,Diversifies away from the current MGC single-family grind via MGC short_only 3m time_of_day_momentum_reversion.,reject if edge vanishes outside one narrow sample window
21,MNQ_volatility_compression_breakout_tf15_both_bef83121,MNQ,15,both,volatility_compression_breakout,Trade expansion after prior low-range/compression context.,prior range bucket known before entry,low,low,medium,medium,medium,130.0,Diversifies away from the current MGC single-family grind via MNQ both 15m volatility_compression_breakout.,reject if too sparse or only works in one market regime
22,MNQ_opening_range_fade_tf3_long_only_ad380f25,MNQ,3,long_only,opening_range_fade,Fade failed opening-range extensions after price closes back inside the range.,opening range completed plus failed-break close,medium,medium,medium,high,low,129.0,Diversifies away from the current MGC single-family grind via MNQ long_only 3m opening_range_fade.,reject if same-bar ambiguity or holdout weakness dominates
23,MNQ_opening_range_fade_tf15_short_only_8220543f,MNQ,15,short_only,opening_range_fade,Fade failed opening-range extensions after price closes back inside the range.,opening range completed plus failed-break close,medium,medium,medium,high,low,129.0,Diversifies away from the current MGC single-family grind via MNQ short_only 15m opening_range_fade.,reject if same-bar ambiguity or holdout weakness dominates
24,MNQ_vwap_reclaim_rejection_tf15_short_only_3569b261,MNQ,15,short_only,vwap_reclaim_rejection,Trade reclaim/rejection around intraday VWAP after bar close confirmation.,current-session VWAP and closed signal bar,medium,medium,low,high,low,129.0,Diversifies away from the current MGC single-family grind via MNQ short_only 15m vwap_reclaim_rejection.,reject if it fires in nearly every session without quality filters
25,MGC_volatility_compression_breakout_tf15_long_only_6f447cc7,MGC,15,long_only,volatility_compression_breakout,Trade expansion after prior low-range/compression context.,prior range bucket known before entry,low,medium,medium,medium,medium,129.0,Diversifies away from the current MGC single-family grind via MGC long_only 15m volatility_compression_breakout.,reject if too sparse or only works in one market regime
26,MGC_volatility_compression_breakout_tf15_short_only_25b18527,MGC,15,short_only,volatility_compression_breakout,Trade expansion after prior low-range/compression context.,prior range bucket known before entry,low,medium,medium,medium,medium,129.0,Diversifies away from the current MGC single-family grind via MGC short_only 15m volatility_compression_breakout.,reject if too sparse or only works in one market regime
27,MGC_prior_high_low_rejection_tf3_long_only_d82a668b,MGC,3,long_only,prior_high_low_rejection,Fade sweeps of prior-session high/low after rejection confirmation.,prior levels known plus rejection close,medium,medium,medium,high,low,126.0,Diversifies away from the current MGC single-family grind via MGC long_only 3m prior_high_low_rejection.,reject if one-day concentration or ambiguity remains high
28,MGC_prior_high_low_rejection_tf3_short_only_99e94ad7,MGC,3,short_only,prior_high_low_rejection,Fade sweeps of prior-session high/low after rejection confirmation.,prior levels known plus rejection close,medium,medium,medium,high,low,126.0,Diversifies away from the current MGC single-family grind via MGC short_only 3m prior_high_low_rejection.,reject if one-day concentration or ambiguity remains high
29,MNQ_session_reversal_failed_breakout_tf15_both_d11c4918,MNQ,15,both,session_reversal_failed_breakout,Trade reversal after a failed range or prior-level breakout.,failed breakout and reversal confirmation close,medium,low,low,medium,high,126.0,Diversifies away from the current MGC single-family grind via MNQ both 15m session_reversal_failed_breakout.,reject if too many variants only repackage opening-range fade
30,MGC_vwap_pullback_continuation_tf5_long_only_700213c7,MGC,5,long_only,vwap_pullback_continuation,Trade with VWAP trend after a shallow pullback and continuation close.,VWAP slope/pullback known at signal close,medium,medium,medium,medium,high,125.0,Diversifies away from the current MGC single-family grind via MGC long_only 5m vwap_pullback_continuation.,reject if old MGC failure modes repeat without filter improvement
31,MGC_vwap_pullback_continuation_tf5_short_only_ac31c6ab,MGC,5,short_only,vwap_pullback_continuation,Trade with VWAP trend after a shallow pullback and continuation close.,VWAP slope/pullback known at signal close,medium,medium,medium,medium,high,125.0,Diversifies away from the current MGC single-family grind via MGC short_only 5m vwap_pullback_continuation.,reject if old MGC failure modes repeat without filter improvement
32,MGC_first_pullback_trend_continuation_tf5_long_only_ed9b485c,MGC,5,long_only,first_pullback_trend_continuation,Trade first pullback after session trend is established.,trend and pullback state from closed bars only,medium,medium,low,medium,high,125.0,Diversifies away from the current MGC single-family grind via MGC long_only 5m first_pullback_trend_continuation.,reject if event detection requires discretionary labeling
33,MGC_first_pullback_trend_continuation_tf5_short_only_54ceaadb,MGC,5,short_only,first_pullback_trend_continuation,Trade first pullback after session trend is established.,trend and pullback state from closed bars only,medium,medium,low,medium,high,125.0,Diversifies away from the current MGC single-family grind via MGC short_only 5m first_pullback_trend_continuation.,reject if event detection requires discretionary labeling
34,MGC_session_reversal_failed_breakout_tf15_long_only_0e547295,MGC,15,long_only,session_reversal_failed_breakout,Trade reversal after a failed range or prior-level breakout.,failed breakout and reversal confirmation close,medium,medium,low,medium,high,125.0,Diversifies away from the current MGC single-family grind via MGC long_only 15m session_reversal_failed_breakout.,reject if too many variants only repackage opening-range fade
35,MGC_session_reversal_failed_breakout_tf15_short_only_99046491,MGC,15,short_only,session_reversal_failed_breakout,Trade reversal after a failed range or prior-level breakout.,failed breakout and reversal confirmation close,medium,medium,low,medium,high,125.0,Diversifies away from the current MGC single-family grind via MGC short_only 15m session_reversal_failed_breakout.,reject if too many variants only repackage opening-range fade
36,MNQ_prior_high_low_breakout_tf5_both_8cd6ccb2,MNQ,5,both,prior_high_low_breakout,Trade continuation through prior-session high/low levels.,prior session levels known before RTH open,high,low,medium,medium,low,124.0,Diversifies away from the current MGC single-family grind via MNQ both 5m prior_high_low_breakout.,reject if breakout events are too sparse or slippage-sensitive
37,MNQ_opening_range_breakout_tf1_long_only_840c0c3b,MNQ,1,long_only,opening_range_breakout,Break away from the completed opening range after confirmation.,opening range completed plus signal bar close,medium,medium,medium,high,low,123.0,Diversifies away from the current MGC single-family grind via MNQ long_only 1m opening_range_breakout.,reject if cost stress or concentration dominates
38,MNQ_vwap_reclaim_rejection_tf1_long_only_bdbad7c5,MNQ,1,long_only,vwap_reclaim_rejection,Trade reclaim/rejection around intraday VWAP after bar close confirmation.,current-session VWAP and closed signal bar,medium,medium,low,high,low,123.0,Diversifies away from the current MGC single-family grind via MNQ long_only 1m vwap_reclaim_rejection.,reject if it fires in nearly every session without quality filters
39,MGC_volatility_compression_breakout_tf15_both_8de10111,MGC,15,both,volatility_compression_breakout,Trade expansion after prior low-range/compression context.,prior range bucket known before entry,low,medium,medium,medium,medium,121.0,Diversifies away from the current MGC single-family grind via MGC both 15m volatility_compression_breakout.,reject if too sparse or only works in one market regime
40,MGC_session_reversal_failed_breakout_tf15_both_8a62d7e0,MGC,15,both,session_reversal_failed_breakout,Trade reversal after a failed range or prior-level breakout.,failed breakout and reversal confirmation close,medium,medium,low,medium,high,117.0,Diversifies away from the current MGC single-family grind via MGC both 15m session_reversal_failed_breakout.,reject if too many variants only repackage opening-range fade
41,MNQ_time_of_day_momentum_reversion_tf3_both_180c2000,MNQ,3,both,time_of_day_momentum_reversion,Trade time-window-specific momentum or mean-reversion behavior.,fixed clock window and closed bar only,high,low,low,medium,medium,116.0,Diversifies away from the current MGC single-family grind via MNQ both 3m time_of_day_momentum_reversion.,reject if edge vanishes outside one narrow sample window
42,MGC_prior_high_low_breakout_tf5_both_2eae3620,MGC,5,both,prior_high_low_breakout,Trade continuation through prior-session high/low levels.,prior session levels known before RTH open,high,medium,medium,medium,low,115.0,Diversifies away from the current MGC single-family grind via MGC both 5m prior_high_low_breakout.,reject if breakout events are too sparse or slippage-sensitive
43,MNQ_overnight_range_breakout_fade_tf5_long_only_ff6c85b5,MNQ,5,long_only,overnight_range_breakout_fade,Trade breakout or fade around overnight high/low/midpoint levels.,overnight range finalized before RTH open,low,low,low,high,high,115.0,Diversifies away from the current MGC single-family grind via MNQ long_only 5m overnight_range_breakout_fade.,reject if overnight data quality or session handling is ambiguous
44,MNQ_overnight_range_breakout_fade_tf15_short_only_eb178cfc,MNQ,15,short_only,overnight_range_breakout_fade,Trade breakout or fade around overnight high/low/midpoint levels.,overnight range finalized before RTH open,low,low,low,high,high,115.0,Diversifies away from the current MGC single-family grind via MNQ short_only 15m overnight_range_breakout_fade.,reject if overnight data quality or session handling is ambiguous
45,MGC_opening_range_fade_tf3_long_only_4bf7c112,MGC,3,long_only,opening_range_fade,Fade failed opening-range extensions after price closes back inside the range.,opening range completed plus failed-break close,medium,high,medium,high,low,110.0,Diversifies away from the current MGC single-family grind via MGC long_only 3m opening_range_fade.,reject if same-bar ambiguity or holdout weakness dominates
46,MGC_opening_range_fade_tf3_short_only_56d08035,MGC,3,short_only,opening_range_fade,Fade failed opening-range extensions after price closes back inside the range.,opening range completed plus failed-break close,medium,high,medium,high,low,110.0,Diversifies away from the current MGC single-family grind via MGC short_only 3m opening_range_fade.,reject if same-bar ambiguity or holdout weakness dominates
