priority_policy,portfolio_mode,diagnostic_filter,diagnostic_filter_only,priority_rank,phase,candidate_id,signal_key,selection_reason_b,accepted_trade_count,accepted_net_pnl,skipped_trade_count,skipped_net_pnl,acceptance_status
concentration_adjusted_priority,max_one_trade_per_session,exclude_overlap_heavy_days,True,1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,required_top_phase10b_parked_module,0,0.0,0,0.0,skipped_all_or_no_trades
concentration_adjusted_priority,max_one_trade_per_session,exclude_overlap_heavy_days,True,2,phase11a,MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,required_top_phase11a_parked_module,0,0.0,0,0.0,skipped_all_or_no_trades
concentration_adjusted_priority,max_one_trade_per_session,exclude_overlap_heavy_days,True,3,phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,required_phase12a_portfolio_d_fallback,4,-127.78,0,0.0,accepted_some
concentration_adjusted_priority,max_one_trade_per_session,exclude_overlap_heavy_days,True,4,phase13a,MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,required_phase13a_diversifier_module,0,0.0,0,0.0,skipped_all_or_no_trades
concentration_adjusted_priority,max_one_trade_per_session,exclude_overlap_heavy_days,True,5,phase13a,MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,required_phase13a_diversifier_module,0,0.0,0,0.0,skipped_all_or_no_trades
concentration_adjusted_priority,max_one_trade_per_session,exclude_overlap_heavy_days,True,6,phase14a,MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit,phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit,required_phase14a_diversifier_module,0,0.0,0,0.0,skipped_all_or_no_trades
concentration_adjusted_priority,max_one_trade_per_session,exclude_overlap_heavy_days,True,7,phase14a,MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,required_phase14a_diversifier_module,1,-136.96,0,0.0,accepted_some
concentration_adjusted_priority,max_one_trade_per_session,exclude_overlap_heavy_days,True,8,phase15a,MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit,phase15a::MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit,required_phase15a_diversifier_module,1,77.26,0,0.0,accepted_some
concentration_adjusted_priority,max_one_trade_per_session,exclude_overlap_heavy_days,True,9,phase15a,MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit,phase15a::MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit,required_phase15a_diversifier_module,0,0.0,0,0.0,skipped_all_or_no_trades
concentration_adjusted_priority,max_one_trade_per_session,exclude_overlap_heavy_days,True,10,phase15a,MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_close_confirm_fill_next_open_hard_stop_time_exit,phase15a::MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_close_confirm_fill_next_open_hard_stop_time_exit,required_phase15a_diversifier_module,0,0.0,0,0.0,skipped_all_or_no_trades
concentration_adjusted_priority,max_one_trade_per_session,exclude_overlap_heavy_days,True,11,phase11a,MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,portfolio_audit_d_selected_module,0,0.0,0,0.0,skipped_all_or_no_trades
concentration_adjusted_priority,max_one_trade_per_session,exclude_overlap_heavy_days,True,12,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,portfolio_audit_d_selected_module,0,0.0,0,0.0,skipped_all_or_no_trades
concentration_adjusted_priority,max_one_trade_per_session,exclude_overlap_heavy_days,True,13,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,portfolio_audit_d_selected_module,0,0.0,0,0.0,skipped_all_or_no_trades
concentration_adjusted_priority,max_one_trade_per_session,exclude_overlap_heavy_days,True,14,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,portfolio_audit_d_selected_module,0,0.0,0,0.0,skipped_all_or_no_trades
concentration_adjusted_priority,max_one_trade_per_session,exclude_overlap_heavy_days,True,15,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,portfolio_audit_d_selected_module,0,0.0,0,0.0,skipped_all_or_no_trades
