selection_rank,module_id,phase,candidate_id,source_family,market_condition,module_family,portfolio_role,plain_english_rule,signal_evidence_status,tradability_status,research_track,portfolio_contribution_status,official_gates_passed,paper_trading_approved,net_pnl,stress_pnl,validation_pnl,holdout_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,trades,active_days,best_day_concentration,best_trade_concentration,average_correlation_to_registry,max_correlation_to_registry,average_correlation_to_portfolio_audit,max_correlation_to_portfolio_audit,level_source,source_window,trade_window,source_report,prior_score,selection_reason,signal_key,outside_module_registry_for_baseline
1,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,overnight_range_targeted_retest,prior_level_interaction,prior_level_reaction,parked_module,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,previously_parked_research_signal,False,False,2955.14,2877.14,334.4,811.84,1766.62,0.833333,78,78,0.306503,0.306503,,,,,,,,reports/phase10b_research_signal_packet.md,8745.14,audit_c_best_reconstructed,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,False
2,MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,phase11a,MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,opening_range_fade_confirmation,range_day,fade,parked_module,MNQ opening-range fade after stricter confirmation using unchanged Phase 11A rules.,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,previously_parked_research_signal,False,False,1366.61,1215.61,82.84,303.5,576.23,0.5,151,98,0.263982,0.263982,,,,,,,,reports/phase11a_research_signal_packet.md,3544.79,audit_c_best_reconstructed,phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,False
3,MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,phase13a,MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,prior_rth_high_low_breakout,prior_level_interaction,breakout,diversifier_module,"Long breakout above prior RTH high after close confirmation, filled at next bar open.",positive_research_signal,not_tradable_concentrated,parked_research_signal,not_evaluated_until_portfolio_audit_b,False,False,879.0,756.0,1407.83,100.29,705.58,0.5,123,123,0.343299,0.343299,0.078738,0.248042,0.076492,0.248042,prior_rth,prior_rth_session,10:00-13:30,reports/phase13a_uncorrelated_family_scout_report.md,3848.7,audit_c_best_reconstructed,phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,False
4,MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,phase13a,MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,prior_rth_high_low_breakout,prior_level_interaction,breakout,diversifier_module,"Long breakout above prior RTH high after close confirmation, filled at next bar open.",positive_research_signal,not_tradable_concentrated,parked_research_signal,not_evaluated_until_portfolio_audit_b,False,False,883.0,760.0,1407.83,69.79,675.08,0.5,123,123,0.341744,0.341744,0.078818,0.246257,0.076755,0.246257,prior_rth,prior_rth_session,10:00-13:30,reports/phase13a_uncorrelated_family_scout_report.md,3795.7,audit_c_best_reconstructed,phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,False
5,MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit,phase14a,MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit,prior_level_reaction,prior_level_interaction,prior_level_reaction,diversifier_module,"Short rejection from prior RTH midpoint after close-confirmed failure to hold above the level, filled at next bar open.",positive_research_signal,not_tradable_concentrated,parked_research_signal,not_evaluated_until_portfolio_audit_c,False,False,418.83,350.83,85.36,734.92,594.39,0.666667,68,68,1.049973,1.049973,0.06063,0.278703,0.061692,0.112742,prior_rth_midpoint,prior_rth_session,10:00-15:30,reports/phase14a_prior_level_reaction_scout_report.md,2184.33,audit_c_best_reconstructed,phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit,False
6,MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,phase14a,MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,prior_level_reaction,prior_level_interaction,prior_level_reaction,diversifier_module,"Short rejection from prior RTH midpoint after close-confirmed failure to hold above the level, filled at next bar open.",positive_research_signal,not_tradable_concentrated,parked_research_signal,not_evaluated_until_portfolio_audit_c,False,False,379.14,306.14,161.41,437.23,122.36,0.5,73,73,1.637284,1.637284,0.102619,0.268422,0.168244,0.312636,prior_rth_close,prior_rth_session,10:00-15:30,reports/phase14a_prior_level_reaction_scout_report.md,1406.28,audit_c_best_reconstructed,phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,False
7,MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,phase11a,MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,opening_range_fade_confirmation,range_day,fade,parked_module,MNQ opening-range fade after stricter confirmation using unchanged Phase 11A rules.,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,previously_parked_research_signal,False,False,1042.64,859.64,720.79,1112.58,993.45,0.0,183,152,0.3954,0.3954,,,,,,,,reports/phase11a_research_signal_packet.md,4729.1,audit_c_best_reconstructed,phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,False
8,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,overnight_range_targeted_retest,prior_level_interaction,prior_level_reaction,parked_module,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,previously_parked_research_signal,False,False,2955.14,2877.14,334.4,811.84,1766.62,0.833333,78,78,0.306503,0.306503,,,,,,,,reports/phase10b_research_signal_packet.md,8745.14,audit_c_best_reconstructed,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,False
9,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,overnight_range_targeted_retest,prior_level_interaction,prior_level_reaction,parked_module,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,previously_parked_research_signal,False,False,2730.48,2643.48,117.16,920.64,1624.18,0.833333,87,87,0.331722,0.331722,,,,,,,,reports/phase10b_research_signal_packet.md,8035.9400000000005,audit_c_best_reconstructed,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,False
10,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,overnight_range_targeted_retest,prior_level_interaction,prior_level_reaction,parked_module,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,previously_parked_research_signal,False,False,2730.48,2643.48,117.16,920.64,1624.18,0.833333,87,87,0.331722,0.331722,,,,,,,,reports/phase10b_research_signal_packet.md,8035.9400000000005,audit_c_best_reconstructed,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,False
