phase6b_rank,candidate_id,spec_json,instrument,family,timeframe,label,ranking_score,risk_notes,net_pnl,validation_pnl,holdout_pnl,slippage_4_ticks_net_pnl,trades,active_sessions,active_session_pct,win_rate,avg_trade,profit_factor,max_drawdown,worst_day,longest_losing_streak,best_day_concentration,best_trade_concentration,same_bar_stop_target_ambiguity_count,base_cost,stress_cost,phase6b_score,phase6b_label,phase6b_notes
1,MNQ_opening_range_breakout_tf5_f83a4876d1,"{""entry"":{""name"":""close_outside_range"",""params"":{""min_range"":20.0,""or_minutes"":15}},""exit"":{""name"":""r_multiple"",""params"":{""stop_mode"":""half_range"",""target"":""2R""}},""family"":""opening_range_breakout"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider opening-range filter, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":5,""version"":1}",MNQ,opening_range_breakout,5,paper_research_candidate,68.4966,No major Phase 5A risk flags.,4895.829999999994,5052.769999999999,471.2799999999984,2246.8299999999936,883,883,0.9800221975582686,0.3737259343148358,5.544541336353333,1.077035424150909,-3781.7399999999834,-472.24,10,0.2384192261577713,0.2384192261577713,0,2.74,3.74,12.0345,rejected,one-trade concentration risk; drawdown exceeds Phase 6B cap
2,MNQ_prior_session_levels_tf3_507ff9b957,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""break_hold""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":60,""target_ticks"":120}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider stop/target, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":3,""version"":1}",MNQ,prior_session_levels,3,interesting_but_needs_validation,32.1608,fails 4-tick slippage; same-bar stop/target ambiguity present,1319.2399999999973,189.7999999999995,74.79999999999939,-927.7600000000027,749,749,0.8312985571587126,0.38451268357810414,1.7613351134846427,1.0875167671256867,-481.52000000000066,-35.74,10,0.04529880840483924,0.04529880840483924,7,2.74,3.74,-69.4992,rejected,fails aggregate 4-tick slippage stress; same-bar stop/target ambiguity remains
3,MNQ_opening_range_breakout_tf5_00178d2888,"{""entry"":{""name"":""close_outside_range"",""params"":{""min_range"":20.0,""or_minutes"":15}},""exit"":{""name"":""r_multiple"",""params"":{""stop_mode"":""full_range"",""target"":""1R""}},""family"":""opening_range_breakout"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider opening-range filter, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":5,""version"":1}",MNQ,opening_range_breakout,5,interesting_but_needs_validation,15.5215,negative holdout PnL; fails 4-tick slippage; one-trade concentration risk; same-bar stop/target ambiguity present,2046.329999999996,3645.769999999999,-845.2200000000016,-602.6700000000046,883,883,0.9800221975582686,0.5096262740656852,2.317474518686292,1.039576127955329,-4366.259999999992,-472.24,6,0.3271759686854033,0.3271759686854033,1,2.74,3.74,-146.1823,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6B cap; same-bar stop/target ambiguity remains; negative holdout split
4,MNQ_vwap_reclaim_rejection_tf3_8cdcce12b9,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""reclaim""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":60,""target_ticks"":120}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider stop/target, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":3,""version"":1}",MNQ,vwap_reclaim_rejection,3,rejected,-31.2653,negative net PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-1166.5200000000034,585.1599999999994,459.8999999999994,-3635.520000000003,823,823,0.9134295227524972,0.3487241798298906,-1.4173997569866383,0.9332526160634999,-2371.3600000000006,-37.74,15,1.0,1.0,8,2.74,3.74,-478.8551,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6B cap; same-bar stop/target ambiguity remains
5,MNQ_prior_session_levels_tf2_f3e936320b,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""break_hold""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":60,""target_ticks"":120}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider stop/target, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":2,""version"":1}",MNQ,prior_session_levels,2,rejected,-48.621,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-889.1800000000027,-99.20000000000056,-151.4400000000005,-3160.180000000003,757,757,0.8401775804661488,0.3527080581241744,-1.174610303830915,0.9446376649170978,-1283.3200000000038,-35.74,11,1.0,1.0,6,2.74,3.74,-481.6479,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity remains; negative validation split; negative holdout split
6,MNQ_opening_range_breakout_tf3_d604679de8,"{""entry"":{""name"":""close_outside_range"",""params"":{""min_range"":20.0,""or_minutes"":15}},""exit"":{""name"":""r_multiple"",""params"":{""stop_mode"":""full_range"",""target"":""1R""}},""family"":""opening_range_breakout"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider opening-range filter, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":3,""version"":1}",MNQ,opening_range_breakout,3,rejected,-52.6592,negative net PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-1008.1200000000036,1238.019999999999,-392.2200000000012,-3672.120000000004,888,888,0.9855715871254164,0.5,-1.1352702702702742,0.9803181558432986,-4241.949999999993,-370.24,6,1.0,1.0,0,2.74,3.74,-491.156,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6B cap; negative holdout split
7,MNQ_vwap_reclaim_rejection_tf3_ec05326356,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""reclaim""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":80}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider stop/target, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":3,""version"":1}",MNQ,vwap_reclaim_rejection,3,rejected,-46.0063,negative net PnL; negative validation PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-1346.0200000000025,-524.8400000000005,339.8999999999995,-3815.020000000003,823,823,0.9134295227524972,0.3511543134872418,-1.6355042527339034,0.8884466972093853,-1786.020000000006,-27.74,16,1.0,1.0,19,2.74,3.74,-503.4064,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity remains; negative validation split
8,MNQ_prior_session_levels_tf5_321e82e1fa,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""break_hold""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":60,""target_ticks"":120}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider stop/target, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":5,""version"":1}",MNQ,prior_session_levels,5,rejected,-60.7175,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-507.1000000000031,-89.98000000000044,-1168.7400000000005,-2727.100000000003,740,740,0.8213096559378469,0.3581081081081081,-0.6852702702702744,0.9674204946996466,-1899.9600000000046,-35.24,12,1.0,1.0,10,2.74,3.74,-504.8023,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6B cap; same-bar stop/target ambiguity remains; negative validation split; negative holdout split
9,MNQ_prior_session_levels_tf3_b1757a72f1,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""break_hold""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":80}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider stop/target, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":3,""version"":1}",MNQ,prior_session_levels,3,rejected,-62.1942,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-1564.2600000000025,-163.70000000000047,-385.20000000000056,-3811.260000000003,749,749,0.8312985571587126,0.3444592790387183,-2.0884646194926604,0.8593840173888965,-1575.2200000000064,-25.74,13,1.0,1.0,17,2.74,3.74,-506.063,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity remains; negative validation split; negative holdout split
10,MNQ_prior_session_levels_tf2_4a41b72440,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""break_hold""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":80}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider stop/target, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":2,""version"":1}",MNQ,prior_session_levels,2,rejected,-68.1,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-1435.6800000000028,-369.2000000000005,-661.4400000000005,-3706.6800000000026,757,757,0.8401775804661488,0.3487450462351387,-1.8965389696169128,0.8720350252956504,-1563.5000000000048,-25.74,9,1.0,1.0,22,2.74,3.74,-508.7479,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity remains; negative validation split; negative holdout split
